Flight No,Date,"Version, booster",Launch site (wiki),Payload,Payload mass,Orbit (wiki),Customer,Launch outcome,Booster landing,date_only
392,11 November 2024 17:22[210],F9 B5 B1067‑23,"Kennedy, LC‑39A",Koreasat 6A,3900.0,GTO,KT Sat,Success,Success (LZ‑1),NaT
392,"South Korean communications satellite built on the Spacebus-4000B2 platform. To be positioned at 116° east.[211][212] First booster to successfully complete 23 launches and landings, surpassing booster B1062, which experienced a landing failure on its 23rd flight.","South Korean communications satellite built on the Spacebus-4000B2 platform. To be positioned at 116° east.[211][212] First booster to successfully complete 23 launches and landings, surpassing booster B1062, which experienced a landing failure on its 23rd flight.","South Korean communications satellite built on the Spacebus-4000B2 platform. To be positioned at 116° east.[211][212] First booster to successfully complete 23 launches and landings, surpassing booster B1062, which experienced a landing failure on its 23rd flight.","South Korean communications satellite built on the Spacebus-4000B2 platform. To be positioned at 116° east.[211][212] First booster to successfully complete 23 launches and landings, surpassing booster B1062, which experienced a landing failure on its 23rd flight.",4000.0,"South Korean communications satellite built on the Spacebus-4000B2 platform. To be positioned at 116° east.[211][212] First booster to successfully complete 23 launches and landings, surpassing booster B1062, which experienced a landing failure on its 23rd flight.","South Korean communications satellite built on the Spacebus-4000B2 platform. To be positioned at 116° east.[211][212] First booster to successfully complete 23 launches and landings, surpassing booster B1062, which experienced a landing failure on its 23rd flight.","South Korean communications satellite built on the Spacebus-4000B2 platform. To be positioned at 116° east.[211][212] First booster to successfully complete 23 launches and landings, surpassing booster B1062, which experienced a landing failure on its 23rd flight.","South Korean communications satellite built on the Spacebus-4000B2 platform. To be positioned at 116° east.[211][212] First booster to successfully complete 23 launches and landings, surpassing booster B1062, which experienced a landing failure on its 23rd flight.",NaT
393,"November 11, 2024 21:28[213]",F9 B5 B1080‑12,"Cape Canaveral, SLC‑40",Starlink: Group 6-69 (24 satellites),17500.0,LEO,SpaceX,Success,Success (ASOG),NaT
393,"Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Second Starlink v2 mini mission to launch 24 satellites, the first was Group 6-39, launched on flight F9-303 in February 2024.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Second Starlink v2 mini mission to launch 24 satellites, the first was Group 6-39, launched on flight F9-303 in February 2024.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Second Starlink v2 mini mission to launch 24 satellites, the first was Group 6-39, launched on flight F9-303 in February 2024.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Second Starlink v2 mini mission to launch 24 satellites, the first was Group 6-39, launched on flight F9-303 in February 2024.",24.0,"Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Second Starlink v2 mini mission to launch 24 satellites, the first was Group 6-39, launched on flight F9-303 in February 2024.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Second Starlink v2 mini mission to launch 24 satellites, the first was Group 6-39, launched on flight F9-303 in February 2024.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Second Starlink v2 mini mission to launch 24 satellites, the first was Group 6-39, launched on flight F9-303 in February 2024.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. Second Starlink v2 mini mission to launch 24 satellites, the first was Group 6-39, launched on flight F9-303 in February 2024.",NaT
394,"November 14, 2024 05:23[214]",F9 B5 B1082‑8,"Vandenberg, SLC-4E",Starlink: Group 9-11 (20 satellites),16300.0,LEO,SpaceX,Success,Success (OCISLY),NaT
394,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",20.0,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",NaT
395,"November 14, 2024 13:21[215]",F9 B5 B1076‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-68 (24 satellites),17500.0,LEO,SpaceX,Success,Success (JRTI),NaT
395,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 17 Falcon launches in 31 days.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 17 Falcon launches in 31 days.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 17 Falcon launches in 31 days.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 17 Falcon launches in 31 days.,24.0,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 17 Falcon launches in 31 days.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 17 Falcon launches in 31 days.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 17 Falcon launches in 31 days.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 17 Falcon launches in 31 days.,NaT
396,"November 17, 2024 22:28[216]",F9 B5 B1077‑16,"Kennedy, LC‑39A",Optus-X/TD7,4000.0,GTO,Optus,Success,Success (ASOG),NaT
396,Northrop Grumman-built geostationary military communications satellite for Australian satellite operator Optus.,Northrop Grumman-built geostationary military communications satellite for Australian satellite operator Optus.,Northrop Grumman-built geostationary military communications satellite for Australian satellite operator Optus.,Northrop Grumman-built geostationary military communications satellite for Australian satellite operator Optus.,,Northrop Grumman-built geostationary military communications satellite for Australian satellite operator Optus.,Northrop Grumman-built geostationary military communications satellite for Australian satellite operator Optus.,Northrop Grumman-built geostationary military communications satellite for Australian satellite operator Optus.,Northrop Grumman-built geostationary military communications satellite for Australian satellite operator Optus.,NaT
397,"November 18, 2024 05:53[218]",F9 B5 B1071‑20,"Vandenberg, SLC-4E",Starlink: Group 9-12 (20 satellites),16300.0,LEO,SpaceX,Success,Success (OCISLY),NaT
397,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",20.0,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",NaT
398,"November 18, 2024 18:31[219]",F9 B5 B1073‑19,"Cape Canaveral, SLC‑40",GSAT-20 (GSAT-N2),4700.0,GTO,New Space India Limited Dish TV,Success,Success (JRTI),NaT
398,Indian telecommunications satellite for Dish TV.[220],Indian telecommunications satellite for Dish TV.[220],Indian telecommunications satellite for Dish TV.[220],Indian telecommunications satellite for Dish TV.[220],,Indian telecommunications satellite for Dish TV.[220],Indian telecommunications satellite for Dish TV.[220],Indian telecommunications satellite for Dish TV.[220],Indian telecommunications satellite for Dish TV.[220],NaT
399,"November 21, 2024 16:07[221]",F9 B5 B1069‑20,"Cape Canaveral, SLC‑40",Starlink: Group 6-66 (24 satellites),17500.0,LEO,SpaceX,Success,Success (ASOG),NaT
399,"Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. One of the fairing halves flew for a record 21st time. SLC-40 broke its own record for most launches from a single launch pad with 56 launches in this year, up from 55 launches last year.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. One of the fairing halves flew for a record 21st time. SLC-40 broke its own record for most launches from a single launch pad with 56 launches in this year, up from 55 launches last year.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. One of the fairing halves flew for a record 21st time. SLC-40 broke its own record for most launches from a single launch pad with 56 launches in this year, up from 55 launches last year.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. One of the fairing halves flew for a record 21st time. SLC-40 broke its own record for most launches from a single launch pad with 56 launches in this year, up from 55 launches last year.",24.0,"Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. One of the fairing halves flew for a record 21st time. SLC-40 broke its own record for most launches from a single launch pad with 56 launches in this year, up from 55 launches last year.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. One of the fairing halves flew for a record 21st time. SLC-40 broke its own record for most launches from a single launch pad with 56 launches in this year, up from 55 launches last year.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. One of the fairing halves flew for a record 21st time. SLC-40 broke its own record for most launches from a single launch pad with 56 launches in this year, up from 55 launches last year.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. One of the fairing halves flew for a record 21st time. SLC-40 broke its own record for most launches from a single launch pad with 56 launches in this year, up from 55 launches last year.",NaT
400,"November 24, 2024 05:25[222]",F9 B5 B1075‑15,"Vandenberg, SLC-4E",Starlink: Group 9-13 (20 satellites),16300.0,LEO,SpaceX,Success,Success (OCISLY),NaT
400,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 400th launch of Falcon 9 launch vehicle and 100th launch from SLC-4E.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 400th launch of Falcon 9 launch vehicle and 100th launch from SLC-4E.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 400th launch of Falcon 9 launch vehicle and 100th launch from SLC-4E.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 400th launch of Falcon 9 launch vehicle and 100th launch from SLC-4E.",20.0,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 400th launch of Falcon 9 launch vehicle and 100th launch from SLC-4E.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 400th launch of Falcon 9 launch vehicle and 100th launch from SLC-4E.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 400th launch of Falcon 9 launch vehicle and 100th launch from SLC-4E.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 400th launch of Falcon 9 launch vehicle and 100th launch from SLC-4E.",NaT
401,"November 25, 2024 10:02[223]",F9 B5 B1080‑13,"Cape Canaveral, SLC‑40",Starlink: Group 12-1 (23 satellites),17100.0,LEO,SpaceX,Success,Success (JRTI),NaT
401,"Launch of 23 Starlink v2 mini satellites, including 12 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. New first stage turnaround record of 13 days, 12 hours, and 44 minutes from this booster's previous launch (Flight 393) on November 11, the previous record was 21 days.[224]","Launch of 23 Starlink v2 mini satellites, including 12 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. New first stage turnaround record of 13 days, 12 hours, and 44 minutes from this booster's previous launch (Flight 393) on November 11, the previous record was 21 days.[224]","Launch of 23 Starlink v2 mini satellites, including 12 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. New first stage turnaround record of 13 days, 12 hours, and 44 minutes from this booster's previous launch (Flight 393) on November 11, the previous record was 21 days.[224]","Launch of 23 Starlink v2 mini satellites, including 12 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. New first stage turnaround record of 13 days, 12 hours, and 44 minutes from this booster's previous launch (Flight 393) on November 11, the previous record was 21 days.[224]",23.0,"Launch of 23 Starlink v2 mini satellites, including 12 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. New first stage turnaround record of 13 days, 12 hours, and 44 minutes from this booster's previous launch (Flight 393) on November 11, the previous record was 21 days.[224]","Launch of 23 Starlink v2 mini satellites, including 12 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. New first stage turnaround record of 13 days, 12 hours, and 44 minutes from this booster's previous launch (Flight 393) on November 11, the previous record was 21 days.[224]","Launch of 23 Starlink v2 mini satellites, including 12 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. New first stage turnaround record of 13 days, 12 hours, and 44 minutes from this booster's previous launch (Flight 393) on November 11, the previous record was 21 days.[224]","Launch of 23 Starlink v2 mini satellites, including 12 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. New first stage turnaround record of 13 days, 12 hours, and 44 minutes from this booster's previous launch (Flight 393) on November 11, the previous record was 21 days.[224]",NaT
402,"November 27, 2024 04:41[225]",F9 B5 B1078‑15,"Kennedy, LC‑39A",Starlink: Group 6-76 (24 satellites),17500.0,LEO,SpaceX,Success,Success (ASOG),NaT
402,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 400th successful mission and Falcon's 375th overall successful landing.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 400th successful mission and Falcon's 375th overall successful landing.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 400th successful mission and Falcon's 375th overall successful landing.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 400th successful mission and Falcon's 375th overall successful landing.,24.0,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 400th successful mission and Falcon's 375th overall successful landing.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 400th successful mission and Falcon's 375th overall successful landing.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 400th successful mission and Falcon's 375th overall successful landing.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. 400th successful mission and Falcon's 375th overall successful landing.,NaT
403,"November 30, 2024 05:00[226]",F9 B5 B1083‑6,"Cape Canaveral, SLC‑40",Starlink: Group 6-65 (24 satellites),17500.0,LEO,SpaceX,Success,Success (JRTI),NaT
403,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 15 Falcon launches in a calendar month.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 15 Falcon launches in a calendar month.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 15 Falcon launches in a calendar month.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 15 Falcon launches in a calendar month.,24.0,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 15 Falcon launches in a calendar month.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 15 Falcon launches in a calendar month.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 15 Falcon launches in a calendar month.,Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First time SpaceX has completed 15 Falcon launches in a calendar month.,NaT
404,"November 30, 2024 08:10[227]",F9 B5 B1088‑1,"Vandenberg, SLC-4E",NROL-126 (2 Starshield satellites) + Starlink: Group N-01[228] (20 satellites),16100.0,LEO,NRO/SpaceX,Success,Success (OCISLY),NaT
404,"Fifth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office, with 20 Starlink v2 mini satellites as rideshare. First time SpaceX has completed 16 Falcon and 17 SpaceX (including Starship IFT-6) launches in a calendar month.","Fifth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office, with 20 Starlink v2 mini satellites as rideshare. First time SpaceX has completed 16 Falcon and 17 SpaceX (including Starship IFT-6) launches in a calendar month.","Fifth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office, with 20 Starlink v2 mini satellites as rideshare. First time SpaceX has completed 16 Falcon and 17 SpaceX (including Starship IFT-6) launches in a calendar month.","Fifth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office, with 20 Starlink v2 mini satellites as rideshare. First time SpaceX has completed 16 Falcon and 17 SpaceX (including Starship IFT-6) launches in a calendar month.",20.0,"Fifth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office, with 20 Starlink v2 mini satellites as rideshare. First time SpaceX has completed 16 Falcon and 17 SpaceX (including Starship IFT-6) launches in a calendar month.","Fifth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office, with 20 Starlink v2 mini satellites as rideshare. First time SpaceX has completed 16 Falcon and 17 SpaceX (including Starship IFT-6) launches in a calendar month.","Fifth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office, with 20 Starlink v2 mini satellites as rideshare. First time SpaceX has completed 16 Falcon and 17 SpaceX (including Starship IFT-6) launches in a calendar month.","Fifth launch of SpaceX/Northrop Grumman-built Starshield satellites for the National Reconnaissance Office, with 20 Starlink v2 mini satellites as rideshare. First time SpaceX has completed 16 Falcon and 17 SpaceX (including Starship IFT-6) launches in a calendar month.",NaT
405,"December 4, 2024 10:13[229]",F9 B5 B1067‑24,"Cape Canaveral, SLC‑40",Starlink: Group 6-70 (24 satellites),17500.0,LEO,SpaceX,Success,Success (ASOG),NaT
405,"Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly 24th time, new record.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly 24th time, new record.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly 24th time, new record.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly 24th time, new record.",24.0,"Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly 24th time, new record.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly 24th time, new record.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly 24th time, new record.","Launch of 24 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation. First booster to fly 24th time, new record.",NaT
406,"December 5, 2024 03:05[230]",F9 B5 B1081‑12,"Vandenberg, SLC-4E",Starlink: Group 9-14 (20 satellites),16300.0,LEO,SpaceX,Success,Success (OCISLY),NaT
406,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",20.0,"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.","Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",NaT
407,"December 5, 2024 16:10[231]",F9 B5 B1076‑19,"Kennedy, LC‑39A",SXM-9,7000.0,GTO,Sirius XM,Success,Success (JRTI),NaT
407,"SXM-9 is a high-powered digital audio radio satellite for SiriusXM. Manufactured by Maxar Technologies on their 1300-class platform, the SXM-9 features a reflector that can unfurl to span nearly 10 meters (33 ft) to transmit.[232] SpaceX stated that this was the 100th booster landing on JRTI.[233] B1076 became the first booster to fly ten times in one calendar year on December 5, 2024.","SXM-9 is a high-powered digital audio radio satellite for SiriusXM. Manufactured by Maxar Technologies on their 1300-class platform, the SXM-9 features a reflector that can unfurl to span nearly 10 meters (33 ft) to transmit.[232] SpaceX stated that this was the 100th booster landing on JRTI.[233] B1076 became the first booster to fly ten times in one calendar year on December 5, 2024.","SXM-9 is a high-powered digital audio radio satellite for SiriusXM. Manufactured by Maxar Technologies on their 1300-class platform, the SXM-9 features a reflector that can unfurl to span nearly 10 meters (33 ft) to transmit.[232] SpaceX stated that this was the 100th booster landing on JRTI.[233] B1076 became the first booster to fly ten times in one calendar year on December 5, 2024.","SXM-9 is a high-powered digital audio radio satellite for SiriusXM. Manufactured by Maxar Technologies on their 1300-class platform, the SXM-9 features a reflector that can unfurl to span nearly 10 meters (33 ft) to transmit.[232] SpaceX stated that this was the 100th booster landing on JRTI.[233] B1076 became the first booster to fly ten times in one calendar year on December 5, 2024.",9.0,"SXM-9 is a high-powered digital audio radio satellite for SiriusXM. Manufactured by Maxar Technologies on their 1300-class platform, the SXM-9 features a reflector that can unfurl to span nearly 10 meters (33 ft) to transmit.[232] SpaceX stated that this was the 100th booster landing on JRTI.[233] B1076 became the first booster to fly ten times in one calendar year on December 5, 2024.","SXM-9 is a high-powered digital audio radio satellite for SiriusXM. Manufactured by Maxar Technologies on their 1300-class platform, the SXM-9 features a reflector that can unfurl to span nearly 10 meters (33 ft) to transmit.[232] SpaceX stated that this was the 100th booster landing on JRTI.[233] B1076 became the first booster to fly ten times in one calendar year on December 5, 2024.","SXM-9 is a high-powered digital audio radio satellite for SiriusXM. Manufactured by Maxar Technologies on their 1300-class platform, the SXM-9 features a reflector that can unfurl to span nearly 10 meters (33 ft) to transmit.[232] SpaceX stated that this was the 100th booster landing on JRTI.[233] B1076 became the first booster to fly ten times in one calendar year on December 5, 2024.","SXM-9 is a high-powered digital audio radio satellite for SiriusXM. Manufactured by Maxar Technologies on their 1300-class platform, the SXM-9 features a reflector that can unfurl to span nearly 10 meters (33 ft) to transmit.[232] SpaceX stated that this was the 100th booster landing on JRTI.[233] B1076 became the first booster to fly ten times in one calendar year on December 5, 2024.",NaT
408,"December 8, 2024 05:12[234]",F9 B5 B1086‑2,"Cape Canaveral, SLC‑40",Starlink: Group 12-5 (23 satellites),17100.0,LEO,SpaceX,Success,Success (ASOG),NaT
